ticker,price,vol_1y,vol_3y,pe_now,pe_hist_med,pe_hist_p25,pe_hist_p75,ma50,ma200,px_vs_ma50,px_vs_ma200,resistance,support,upside_to_resist,downside_to_support,hi_52w,lo_52w,ps_hist_med,ps_now,val_basis,fwd_growth,growth_1y,growth_2y,target_median,target_mean,target_upside,n_analysts,growth,pe_revert_full,exp_ret_none,exp_ret_half,exp_ret_full
SJM,125.87000274658205,0.2925331592755463,0.2715092217121497,11.687789,17.775309261958824,15.798902845984587,18.98878803701793,115.45681198120116,103.77253009796142,0.0901912203073505,0.2129414463322863,125.87000274658205,97.2076644897461,0.0,-0.2277138129133333,125.87000274658205,87.72500610351562,,,fwd_pe,,0.0718,-0.0082305926390705,129.5,127.6875,0.0288392561707204,6.0,-0.0082305926390705,0.5,-0.008230592639070444,0.23971175920116194,0.48765411104139433
SLB,54.0,0.3559808246563677,0.3300640143862157,16.708954,15.039889558832694,14.044656931754952,16.7646888495276,49.621000137329105,47.873197059631345,0.088248923853847,0.127979815777439,58.0099983215332,45.09000015258789,0.0742592281765408,-0.1649999971742983,58.0099983215332,31.123685836791992,,,fwd_pe,0.576487851962487,0.2934,0.050239693103095,63.0,61.93103,0.1666666666666667,26.0,0.050239693103095,-0.09989042049953001,0.05023969310309506,-0.002214749181587705,-0.05466919146627047
SMCI,35.16999816894531,0.9077671890292582,0.998737544773259,6.6035533,13.184669422474354,7.729323286759225,24.19047582717169,30.54739990234375,31.392349910736083,0.1513254247948905,0.1203365873835804,50.16999816894531,28.270000457763672,0.4264998800382316,-0.1961898797388694,58.68000030517578,20.530000686645508,,,fwd_pe,0.6337178651984228,0.22770001,0.1582736274919025,42.5,42.375,0.2084163267749894,7.0,0.1582736274919025,0.5,0.15827362749190255,0.4478420343648781,0.7374104412378539
SNA,394.489990234375,0.2029686649509799,0.2280988181113923,18.488108,13.22798968403956,11.991706147777377,16.08072969676182,400.5126525878906,369.4329930114746,-0.0150373834998732,0.0678255534749223,416.7244567871094,355.0093994140625,0.0563625620501153,-0.1000800826324039,416.7244567871094,313.3600769042969,,,fwd_pe,0.0858778518602336,0.0766,0.0550284072350633,415.0,413.77777,0.0519912045257209,10.0,0.0550284072350633,-0.2845136082048223,0.055028407235063304,-0.095056562215454,-0.2451415316659712
SNDK,1493.1199951171875,1.1722502714098717,1.073044215112494,,,,,1646.4069946289062,945.7070487976074,-0.0931039530394299,0.5788398712006777,2335.0,527.3300170898438,0.5638394821822326,-0.6468267662248698,2335.0,46.369998931884766,,,none,2.5889588080350396,0.2364,0.9325594001775072,2100.0,2126.1738,0.4064509261596094,19.0,0.5,,,,
SOLV,91.25,0.3001726560324582,0.3228760475224854,12.632135,9.02027009843706,8.24802931364592,22.91757196619891,81.21659942626952,76.5330499458313,0.1235387918800892,0.1922953555958517,91.25,73.55999755859375,0.0,-0.1938630404537671,91.25,62.4900016784668,,,fwd_pe,-0.116914440828886,0.0054,0.0873201640345877,95.0,93.92308,0.0410958904109588,15.0,0.0873201640345877,-0.2859267179746686,0.08732016403458775,-0.06812677891045615,-0.22357372185550028
SPG,220.72999572753903,0.1907203865083824,0.2291751799114698,32.98224,14.282039653264349,12.378171377185495,17.61144515872455,223.15219940185543,197.7237336730957,-0.0108544916017361,0.1163555918505996,236.6999969482422,197.8494415283203,0.0723508427935453,-0.1036585631409229,236.6999969482422,167.4527587890625,,,fwd_pe,-0.5277071842300582,0.0759,0.0640813613500448,229.0,236.05263,0.0374666082206114,5.0,0.0640813613500448,-0.5,0.06408136135004483,-0.20193897898746638,-0.4679593193249776
SPGI,435.4200134277344,0.3070444127811826,0.2412389972308274,21.515493,34.07730252135034,32.00305246558716,38.92373977923776,417.6135577392578,430.2526625061035,0.0426385957986408,0.0120100382215706,457.3800048828125,383.4404296875,0.0504340424828055,-0.1193780307226537,522.2609252929688,367.9739074707031,,,fwd_pe,0.2198619850356207,0.13239999,0.0653758957357759,523.0,519.3,0.2011390929939445,23.0,0.0653758957357759,0.5,0.06537589573577596,0.3317198696697199,0.598063843603664
SRE,84.56999969482422,0.2058036338201116,0.2387068360846069,15.266639,18.39116644535669,14.768252646927907,23.06785658721379,90.07369415283203,90.51449810028076,-0.0611021287599179,-0.0656745441914802,92.02540588378906,84.55206298828125,0.088156630198275,-0.000212093018892,99.04218292236328,77.17640686035156,,,fwd_pe,0.5737300135281904,0.0855,0.086801021601641,104.0,104.38235,0.229750506979899,16.0,0.086801021601641,0.2046637406803613,0.08680102160164105,0.19801540282975627,0.30922978405787105
STE,237.8699951171875,0.253996841291591,0.2337213765745521,19.42254,46.45864731996392,32.761882382713985,146.35367348929432,220.5110006713867,233.4271322631836,0.0787216709957694,0.0190331895479687,266.5171203613281,234.185791015625,0.1204318570319367,-0.0154883094849666,267.1734924316406,199.3999938964844,,,fwd_pe,0.497201704823365,0.0963,0.097378211034417,269.5,263.125,0.1329718145713581,9.0,0.097378211034417,0.5,0.09737821103441702,0.3717227637930214,0.6460673165516255
