ticker,Security,GICS Sector,GICS Sub-Industry,mktcap,price,bm_weight
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,336226844672.0,214.08,0.45403299640726136
NFLX,Netflix,Communication Services,Movies & Entertainment,333156810752.0,80.01,0.44988729322544274
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,301735084032.0,1036.28,0.40745611629520945
PM,Philip Morris International,Consumer Staples,Tobacco,298412113920.0,191.46,0.402968853898315
PANW,Palo Alto Networks,Information Technology,Systems Software,285983506432.0,350.9,0.3861855482569963
RTX,RTX Corporation,Industrials,Aerospace & Defense,281977946112.0,209.22,0.38077653174567705
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",279902420992.0,433.19,0.3779737903694748
WFC,Wells Fargo,Financials,Diversified Banks,256193216512.0,84.72,0.34595742605154467
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,250912866304.0,942.1,0.3388269626010229
AMGN,Amgen,Health Care,Biotechnology,239954100224.0,443.84,0.3240284969845057
ANET,Arista Networks,Information Technology,Communications Equipment,237299417088.0,188.15,0.3204436739465781
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,237229719552.0,181.57,0.3203495559973014
TXN,Texas Instruments,Information Technology,Semiconductors,236476350464.0,258.94,0.31933222371153785
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,232474918912.0,628.74,0.3139287825935466
AXP,American Express,Financials,Consumer Finance,227802251264.0,337.33,0.30761891969278293
LIN,Linde plc,Materials,Industrial Gases,225894105088.0,490.03,0.30504220299213547
C,Citigroup,Financials,Diversified Banks,220951969792.0,131.72,0.29836845717840677
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",218621149184.0,1493.12,0.29522097064808406
IBM,IBM,Information Technology,IT Consulting & Other Services,217670729728.0,231.04,0.29393754607836414
VZ,Verizon,Communication Services,Integrated Telecommunication Services,208361979904.0,50.15,0.281367224456605
MRVL,Marvell Technology,Information Technology,Semiconductors,205797965824.0,229.29,0.2779048388261285
ABT,Abbott Laboratories,Health Care,Health Care Equipment,201883828224.0,116.67,0.2726192774527884
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,197619220480.0,144.67,0.2668604492592846
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,196539006976.0,113.65,0.26540175379295694
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,195891281920.0,182.62,0.2645270807777471
CRWD,CrowdStrike,Information Technology,Systems Software,194161672192.0,190.68,0.26219145558938634
MCD,McDonald's,Consumer Discretionary,Restaurants,192860635136.0,272.54,0.2604345650783125
APH,Amphenol,Information Technology,Electronic Components,191790579712.0,155.55,0.25898958684953804
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,190988828672.0,110.61,0.2579069206887829
BLK,BlackRock,Financials,Asset Management & Custody Banks,190521212928.0,1172.61,0.2572754631452228
UNP,Union Pacific Corporation,Industrials,Rail Transportation,184080236544.0,309.86,0.2485777168059358
GILD,Gilead Sciences,Health Care,Biotechnology,181951037440.0,146.74,0.2457024953164683
ADI,Analog Devices,Information Technology,Semiconductors,180792098816.0,371.17,0.24413749125910297
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",180103069696.0,794.65,0.2432070421860355
T,AT&T,Communication Services,Integrated Telecommunication Services,176037789696.0,25.69,0.23771738159264916
NEE,NextEra Energy,Utilities,Multi-Utilities,175430762496.0,84.1,0.2368976660259591
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,175092219904.0,648.64,0.23644050589763208
WELL,Welltower,Real Estate,Health Care REITs,172944490496.0,240.01,0.23354026151191828
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,171692572672.0,143.64,0.23184970048178732
CRM,Salesforce,Information Technology,Application Software,171220140032.0,209.06,0.23121173831267783
QCOM,Qualcomm,Information Technology,Semiconductors,166493585408.0,158.53,0.2248291076791518
BA,Boeing,Industrials,Aerospace & Defense,166341279744.0,210.46,0.22462343761415984
UBER,Uber,Industrials,Passenger Ground Transportation,161954594816.0,79.29,0.2186997591996734
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",160314540032.0,213.36,0.21648506694754824
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,160198361088.0,133.35,0.2163281815741771
PFE,Pfizer,Health Care,Pharmaceuticals,159419858944.0,27.97,0.2152769101877576
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,158727438336.0,408.67,0.2143418813273135
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,158540038144.0,93.05,0.21408882041903274
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",156972318720.0,435.38,0.21197180817303268
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,155442954240.0,140.71,0.2099065895610845
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,151219322880.0,215.11,0.20420309493390437
PLD,Prologis,Real Estate,Industrial REITs,139359027200.0,143.36,0.18818722448453645
NEM,Newmont,Materials,Gold,138918789120.0,131.84,0.18759273710864008
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,138792681472.0,547.59,0.18742244424178953
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,137433833472.0,67.28,0.18558748716183393
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,133841936384.0,373.57,0.1807370719630056
CB,Chubb Limited,Financials,Property & Casualty Insurance,133421162496.0,345.83,0.1801688685842274
COF,Capital One,Financials,Consumer Finance,132678377472.0,216.27,0.17916582877501122
NOW,ServiceNow,Information Technology,Systems Software,132386037760.0,128.05,0.17877105995297476
LMT,Lockheed Martin,Industrials,Aerospace & Defense,130198298624.0,564.14,0.1758167873509625
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,130180767744.0,223.92,0.17579311405389483
SPGI,S&P Global,Financials,Financial Exchanges & Data,128361816064.0,435.42,0.17333684354879558
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,127881863168.0,1014.24,0.17268872619898135
SYK,Stryker Corporation,Health Care,Health Care Equipment,125739081728.0,327.81,0.16979516343543058
GLW,Corning Inc.,Information Technology,Electronic Components,125375078400.0,145.55,0.16930362171491364
SBUX,Starbucks,Consumer Discretionary,Restaurants,122538598400.0,107.49,0.16547330437393623
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,121662218240.0,216.98,0.16428986076631819
CVS,CVS Health,Health Care,Health Care Services,120363900928.0,94.11,0.16253664293497624
MDT,Medtronic,Health Care,Health Care Equipment,118910222336.0,92.9,0.16057362880508808
MO,Altria,Consumer Staples,Tobacco,114327363584.0,68.47,0.15438504177149873
ACN,Accenture,Information Technology,IT Consulting & Other Services,114145558528.0,186.53,0.15413953640616065
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",113895022592.0,190.21,0.15380121844157116
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,112429334528.0,283.01,0.15182198699696278
FCX,Freeport-McMoRan,Materials,Copper,111722168320.0,77.8,0.15086704601748976
FTNT,Fortinet,Information Technology,Systems Software,111517147136.0,151.99,0.1505901901269695
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,110012661760.0,162.14,0.1485585676847384
ADBE,Adobe Inc.,Information Technology,Application Software,109817323520.0,276.27,0.1482947874190471
CVNA,Carvana,Consumer Discretionary,Automotive Retail,107632271360.0,72.33,0.1453441432476135
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,105000427520.0,263.29,0.14179016186960394
EQIX,Equinix,Real Estate,Data Center REITs,104118362112.0,1055.2,0.14059904103387139
GD,General Dynamics,Industrials,Aerospace & Defense,103831724032.0,383.77,0.1402119715645261
SO,Southern Company,Utilities,Electric Utilities,103647707136.0,90.1,0.13996347938133372
MCK,McKesson Corporation,Health Care,Health Care Distributors,101875490816.0,873.79,0.13757031923126775
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,101804589056.0,362.52,0.13747457512560377
INTU,Intuit,Information Technology,Application Software,101186805760.0,369.92,0.13664033477431098
CME,CME Group,Financials,Financial Exchanges & Data,100381949952.0,279.165,0.13555347600627143
APP,AppLovin,Communication Services,Advertising,100308180992.0,298.59,0.13545386009968513
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,99805732864.0,229.06,0.13477536570606347
TT,Trane Technologies,Industrials,Building Products,99661701120.0,452.96,0.13458086855230444
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,99622903808.0,346.0,0.1345284775546817
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,99119734784.0,107.32,0.1338490096796853
VRT,Vertiv,Industrials,Electrical Components & Equipment,98160435200.0,254.97,0.13255359358939467
USB,U.S. Bancorp,Financials,Diversified Banks,97253572608.0,62.42,0.13132898720682848
PNC,PNC Financial Services,Financials,Diversified Banks,97214595072.0,243.68,0.13127635283886205
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,97010237440.0,241.96,0.13100039299369812
CEG,Constellation Energy,Utilities,Electric Utilities,96878264320.0,273.43,0.1308221795283894
CMCSA,Comcast,Communication Services,Cable & Satellite,95884165120.0,27.02,0.12947977083719053
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,95836807168.0,48.92,0.12941581974824268
CSX,CSX Corporation,Industrials,Rail Transportation,95291301888.0,51.44,0.1286791819670566
DUK,Duke Energy,Utilities,Electric Utilities,95100280832.0,121.97,0.12842123152732543
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",93928022016.0,360.2,0.126838240189104
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,93162913792.0,103.62,0.12580505564413572
HCA,HCA Healthcare,Health Care,Health Care Facilities,92931104768.0,429.24,0.12549202607071294
MRSH,Marsh McLennan,Financials,Insurance Brokers,92898713600.0,194.67,0.12544828578257944
PWR,Quanta Services,Industrials,Construction & Engineering,92728803328.0,616.78,0.12521884285992468
MMM,3M,Industrials,Industrial Conglomerates,92319473664.0,179.01,0.12466609349797056
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,91501690880.0,162.99,0.12356177843891568
WM,Waste Management,Industrials,Environmental & Facilities Services,90519502848.0,226.46,0.12223545431497684
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,88556101632.0,511.35,0.11958412247941273
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,87892549632.0,157.57,0.11868807712311188
UPS,United Parcel Service,Industrials,Air Freight & Logistics,87392280576.0,102.72,0.11801252529819115
ELV,Elevance Health,Health Care,Managed Health Care,87318085632.0,402.63,0.1179123341526107
CDNS,Cadence Design Systems,Information Technology,Application Software,87002161152.0,315.92,0.11748571700241635
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,86808199168.0,70.97,0.11722379520116777
JCI,Johnson Controls,Industrials,Building Products,86614974464.0,142.99,0.11696286900587062
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,85298208768.0,828.5,0.11518473890116587
SHW,Sherwin-Williams,Materials,Specialty Chemicals,84171530240.0,346.73,0.11366329813532043
SPG,Simon Property Group,Real Estate,Retail REITs,83794288640.0,220.73,0.11315387975683087
AMT,American Tower,Real Estate,Telecom Tower REITs,83122618368.0,178.39,0.11224687167277578
CTAS,Cintas,Industrials,Diversified Support Services,82995167232.0,207.4,0.11207476459063592
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,82577129472.0,64.7,0.1115102560161664
DDOG,Datadog,Information Technology,Application Software,81068367872.0,225.77,0.10947285905941692
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,80868966400.0,283.95,0.10920359189870432
ECL,Ecolab,Materials,Specialty Chemicals,80448708608.0,286.98,0.10863608544409212
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,80143736832.0,54.0,0.10822425857342091
MSI,Motorola Solutions,Information Technology,Communications Equipment,79688572928.0,481.52,0.10760961570815192
NSC,Norfolk Southern,Industrials,Rail Transportation,79282266112.0,352.98,0.10706094833059872
FDX,FedEx,Industrials,Air Freight & Logistics,79059755008.0,334.05,0.1067604744544525
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,78789533696.0,150.21,0.10639557381095942
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,78691770368.0,571.62,0.10626355646179778
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,78669193216.0,86.98,0.10623306879510683
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,78418223104.0,132.79,0.10589416452923484
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",78363459584.0,293.0,0.10582021313161913
NOC,Northrop Grumman,Industrials,Aerospace & Defense,78032379904.0,549.28,0.10537313074797841
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,77475053568.0,241.52,0.10462053008470415
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,77287473152.0,370.55,0.10436722580607974
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,77162528768.0,169.89,0.1041985037841748
AON,Aon plc,Financials,Insurance Brokers,76174245888.0,359.1,0.102863949317704
SNPS,Synopsys,Information Technology,Application Software,75540512768.0,394.51,0.10200817069099495
LITE,Lumentum,Information Technology,Communications Equipment,74466246656.0,830.17,0.10055750644600894
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",74287177728.0,330.07,0.10031569588497956
CI,Cigna,Health Care,Health Care Services,74106249216.0,280.45,0.10007137418449485
CL,Colgate-Palmolive,Consumer Staples,Household Products,73778348032.0,92.55,0.0996285839687337
ORLY,O'Reilly Automotive,Consumer Discretionary,Automotive Retail,73356566528.0,90.68,0.0990590199284885
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,71954825216.0,28.7,0.09716614070673549
DLR,Digital Realty,Real Estate,Data Center REITs,71027007488.0,188.55,0.09591323699057157
BSX,Boston Scientific,Health Care,Health Care Equipment,71026737152.0,49.01,0.09591287193505603
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,69722185728.0,271.99,0.09415123570228022
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",69427994624.0,52.43,0.09375396680307681
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,69030871040.0,31.0,0.09321770025076329
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,68395864064.0,129.94,0.0923602014382159
RSG,Republic Services,Industrials,Environmental & Facilities Services,68309995520.0,223.08,0.09224424653173756
APD,Air Products,Materials,Industrial Gases,68195217408.0,306.24,0.09208925280967421
HON,Honeywell Technologies,Industrials,Industrial Conglomerates,68069203968.0,214.77,0.09191908715913967
URI,United Rentals,Industrials,Trading Companies & Distributors,67443474432.0,1083.56,0.09107411638814797
AEP,American Electric Power,Utilities,Electric Utilities,66405593088.0,121.98,0.08967258529686578
TDG,TransDigm Group,Industrials,Aerospace & Defense,66280972288.0,1199.08,0.08950430023535064
ALL,Allstate,Financials,Property & Casualty Insurance,65791111168.0,260.19,0.08884280304777781
CRH,CRH plc,Materials,Construction Materials,63727599616.0,95.79,0.08605628451743995
