code,name,market,wics,trade_date,close,mktcap_억,per,eps,cns_per,cns_eps,pbr,bps,foreign_pct,hi52,lo52,error
204320,HL만도,KOSPI,자동차부품,2026-08-28,50300.0,23619,13.97,3600.0,11.72,4290.0,0.8,62646.0,17.97,79100.0,32150.0,
000240,한국앤컴퍼니,KOSPI,자동차부품,2026-08-28,24750.0,23496,5.94,4167.0,,,0.45,54762.0,8.85,37900.0,21550.0,
073240,금호타이어,KOSPI,자동차부품,2026-08-28,7360.0,21142,4.44,1659.0,5.19,1417.0,0.87,8433.0,10.43,8850.0,3600.0,
011210,현대위아,KOSPI,자동차부품,2026-08-28,59700.0,16235,22.89,2608.0,10.78,5538.0,0.43,139961.0,19.69,115900.0,46950.0,
437730,삼현,KOSDAQ,자동차부품,2026-08-28,32150.0,10194,98.02,328.0,,,8.02,4010.0,1.68,77300.0,13680.0,
278470,에이피알,KOSPI,화장품,2026-08-28,461500.0,172777,40.04,11527.0,29.44,15677.0,26.66,17309.0,38.17,473000.0,204000.0,
090430,아모레퍼시픽,KOSPI,화장품,2026-08-28,150600.0,88090,36.36,4142.0,27.89,5400.0,1.86,80855.0,26.29,169000.0,94000.0,
021240,코웨이,KOSPI,가정용기기와용품,2026-08-28,100400.0,71050,10.5,9563.0,9.88,10166.0,1.84,54488.0,54.47,108800.0,68800.0,
051900,LG생활건강,KOSPI,화장품,2026-08-28,318000.0,47622,,-4342.0,23.37,13605.0,0.94,337569.0,31.45,335500.0,210000.0,
161890,한국콜마,KOSPI,화장품,2026-08-28,161700.0,38169,20.65,7832.0,19.51,8287.0,3.81,42430.0,40.35,168500.0,55200.0,
192820,코스맥스,KOSPI,화장품,2026-08-28,303000.0,34389,18.66,16236.0,20.31,14920.0,5.32,56990.0,35.85,306000.0,141000.0,
111770,영원무역,KOSPI,"섬유,의류,신발,호화품",2026-08-28,74300.0,32923,5.57,13333.0,5.44,13648.0,0.7,106119.0,29.27,119900.0,56600.0,
483650,달바글로벌,KOSPI,화장품,2026-08-28,229000.0,28684,26.02,8801.0,21.91,10453.0,11.29,20290.0,40.88,283000.0,116100.0,
383220,F&F,KOSPI,"섬유,의류,신발,호화품",2026-08-28,66900.0,25627,4.9,13659.0,5.27,12701.0,1.22,54907.0,12.94,89000.0,58000.0,
009970,영원무역홀딩스,KOSPI,"섬유,의류,신발,호화품",2026-08-28,171500.0,22216,5.35,32086.0,,,0.61,280536.0,23.27,274000.0,125300.0,
081660,미스토홀딩스,KOSPI,"섬유,의류,신발,호화품",2026-08-28,41350.0,21953,8.5,4864.0,7.52,5501.0,1.01,40975.0,40.32,55800.0,36000.0,
