순위,종목명,종목코드,시장,업종(WICS),저장소폴더,종가,시가총액(억),후행PER,선행PER(26E),PBR,2026E EPS,2026E BPS,2026E DPS,업종중앙PER,목표가,상방(%),비고
96,카카오페이,377300,KOSPI,IT서비스,20_소프트웨어,44900,60736,133.89,47.47,3.19,946,14996,,15.3,,,선행PER이 업종 중앙 대비 3.1배 — 배수 접근 부적합
97,한화,000880,KOSPI,복합기업,08_상사자본재,83800,59086,21.27,8.15,0.63,10277,141477,1212,13.5,138842,65.7,
98,산일전기,062040,KOSPI,전기장비,06_기계,184700,56597,37.76,26.48,9.59,6976,24770,1628,40.2,280644,51.9,
99,HLB,028300,KOSDAQ,건강관리장비와용품,16_건강관리,41950,55877,,,13.28,,,,25.1,,,2026E EPS 없음·적자
100,대한전선,001440,KOSPI,전기장비,06_기계,28300,55466,62.65,60.0,3.28,472,8867,,40.2,18989,-32.9,
101,NC,036570,KOSPI,게임엔터테인먼트,20_소프트웨어,255500,55045,15.95,11.85,1.47,21561,195430,3377,15.3,330530,29.4,
102,삼성카드,029780,KOSPI,카드,17_은행,47250,54743,8.48,8.98,0.57,5262,83497,2800,8.0,41833,-11.5,
103,리노공업,058470,KOSDAQ,반도체와반도체장비,22_반도체,71500,54491,35.86,29.33,7.42,2438,11020,1138,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
104,오리온,271560,KOSPI,식품,15_필수소비재,136000,53759,14.05,11.24,1.41,12095,103944,4023,9.5,114661,-15.7,
105,JB금융지주,175330,KOSPI,은행,17_은행,28750,53625,7.8,7.26,0.91,3959,33927,1286,8.0,31474,9.5,
106,한미약품,128940,KOSPI,제약,16_건강관리,413000,52909,31.2,25.05,4.19,16486,114471,1916,25.1,412974,-0.0,
107,대덕전자,353200,KOSPI,전자장비와기기,21_IT하드웨어,104700,51740,113.29,23.45,6.01,4465,21337,496,26.3,117296,12.0,
108,원익IPS,240810,KOSDAQ,반도체와반도체장비,22_반도체,104700,51391,61.16,23.59,5.25,4439,24213,283,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
109,OCI홀딩스,010060,KOSPI,화학,02_화학,273500,51063,,31.68,1.3,8632,217513,1438,23.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
110,에이비엘바이오,298380,KOSDAQ,생물공학,16_건강관리,89100,49885,,,31.75,-1254,2031,,25.1,,,2026E EPS 없음·적자
111,LG디스플레이,034220,KOSPI,디스플레이패널,24_디스플레이,9940,49700,21.96,160.92,0.75,62,13721,,160.9,,,사이클 — 정점 EPS에 정상 배수 적용 불가
112,두산로보틱스,454910,KOSPI,기계,06_기계,74100,48032,,686.17,13.78,108,5508,,40.2,,,선행PER이 업종 중앙 대비 17.1배 — 배수 접근 부적합
113,맥쿼리인프라,088980,KOSPI,,,9980,47796,14.06,,1.13,,,700,14.6,,,2026E EPS 없음·적자
114,LG생활건강,051900,KOSPI,화장품,11_화장품의류완구,318500,47697,,23.51,0.98,13547,337854,3038,15.8,213636,-32.9,
115,가온전선,000500,KOSPI,전기장비,06_기계,157200,46810,87.95,46.65,9.68,3370,20013,100,40.2,135575,-13.8,
116,BNK금융지주,138930,KOSPI,은행,17_은행,14900,46239,5.8,5.84,0.43,2553,36377,821,8.0,20296,36.2,
117,현대차우,005385,KOSPI,자동차,10_자동차,197700,46145,11.41,10.6,0.92,38028,471042,10670,10.6,403097,103.9,
118,이오테크닉스,039030,KOSDAQ,반도체와반도체장비,22_반도체,368500,45398,79.35,38.49,6.6,9574,64430,1100,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
