code,name,market,wi26,dir,wics,source,k200,prev_dir
079550,LIG디펜스앤에어로스페이스,KOSPI,"상사,자본재",08_상사자본재,우주항공과국방,PG sector_map(wi26),1,06_기계
064350,현대로템,KOSPI,"상사,자본재",08_상사자본재,우주항공과국방,PG sector_map(wi26),1,06_기계
272210,한화시스템,KOSPI,"상사,자본재",08_상사자본재,우주항공과국방,PG sector_map(wi26),1,06_기계
047810,한국항공우주,KOSPI,"상사,자본재",08_상사자본재,우주항공과국방,PG sector_map(wi26),1,06_기계
047050,포스코인터내셔널,KOSPI,"상사,자본재",08_상사자본재,무역회사와판매업체,PG sector_map(wi26),1,08_상사자본재
000880,한화,KOSPI,"상사,자본재",08_상사자본재,복합기업,PG sector_map(wi26),1,08_상사자본재
001040,CJ,KOSPI,"상사,자본재",08_상사자본재,복합기업,PG sector_map(wi26),1,08_상사자본재
012750,에스원,KOSPI,"상사,자본재",08_상사자본재,상업서비스와공급품,PG sector_map(wi26),1,08_상사자본재
004800,효성,KOSPI,"상사,자본재",08_상사자본재,복합기업,PG sector_map(wi26),,08_상사자본재
004990,롯데지주,KOSPI,"상사,자본재",08_상사자본재,복합기업,PG sector_map(wi26),1,08_상사자본재
005440,현대지에프홀딩스,KOSPI,"상사,자본재",08_상사자본재,복합기업,PG sector_map(wi26),,08_상사자본재
032820,우리기술,KOSDAQ,"상사,자본재",08_상사자본재,우주항공과국방,PG sector_map(wi26),,06_기계
000155,두산우,KOSPI,"상사,자본재",08_상사자본재,복합기업,WICS '복합기업' → WI26 다수결,,08_상사자본재
298020,효성티앤씨,KOSPI,"상사,자본재",08_상사자본재,무역회사와판매업체,PG sector_map(wi26),1,08_상사자본재
001120,LX인터내셔널,KOSPI,"상사,자본재",08_상사자본재,무역회사와판매업체,PG sector_map(wi26),,08_상사자본재
001740,SK네트웍스,KOSPI,"상사,자본재",08_상사자본재,복합기업,PG sector_map(wi26),,08_상사자본재
347700,스피어,KOSDAQ,"상사,자본재",08_상사자본재,우주항공과국방,PG sector_map(wi26),,06_기계
0220W0,한화머시너리앤서비스홀딩스,KOSPI,"상사,자본재",08_상사자본재,복합기업,WICS '복합기업' → WI26 다수결,1,
011200,HMM,KOSPI,운송,09_운송,해운사,PG sector_map(wi26),1,09_운송
086280,현대글로비스,KOSPI,운송,09_운송,항공화물운송과물류,PG sector_map(wi26),1,09_운송
003490,대한항공,KOSPI,운송,09_운송,항공사,PG sector_map(wi26),1,09_운송
180640,한진칼,KOSPI,운송,09_운송,항공사,PG sector_map(wi26),1,09_운송
088980,맥쿼리인프라,KOSPI,운송,09_운송,운송인프라,PG sector_map(wi26),,
028670,팬오션,KOSPI,운송,09_운송,해운사,PG sector_map(wi26),1,09_운송
089860,롯데렌탈,KOSPI,운송,09_운송,도로와철도운송,PG sector_map(wi26),,09_운송
000120,CJ대한통운,KOSPI,운송,09_운송,항공화물운송과물류,PG sector_map(wi26),1,09_운송
020560,아시아나항공,KOSPI,운송,09_운송,항공사,PG sector_map(wi26),,09_운송
415640,KB발해인프라,KOSPI,운송,09_운송,운송인프라,PG sector_map(wi26),,
005380,현대차,KOSPI,자동차,10_자동차,자동차,PG sector_map(wi26),1,10_자동차
000270,기아,KOSPI,자동차,10_자동차,자동차,PG sector_map(wi26),1,10_자동차
012330,현대모비스,KOSPI,자동차,10_자동차,자동차부품,PG sector_map(wi26),1,10_자동차
161390,한국타이어앤테크놀로지,KOSPI,자동차,10_자동차,자동차부품,PG sector_map(wi26),1,10_자동차
005387,현대차2우B,KOSPI,자동차,10_자동차,자동차,WICS '자동차' → WI26 다수결,,10_자동차
005385,현대차우,KOSPI,자동차,10_자동차,자동차,WICS '자동차' → WI26 다수결,,10_자동차
018880,한온시스템,KOSPI,자동차,10_자동차,자동차부품,PG sector_map(wi26),1,10_자동차
007340,DN오토모티브,KOSPI,자동차,10_자동차,자동차부품,PG sector_map(wi26),1,10_자동차
005850,에스엘,KOSPI,자동차,10_자동차,자동차부품,PG sector_map(wi26),1,10_자동차
204320,HL만도,KOSPI,자동차,10_자동차,자동차부품,PG sector_map(wi26),1,10_자동차
000240,한국앤컴퍼니,KOSPI,자동차,10_자동차,자동차부품,PG sector_map(wi26),1,10_자동차
073240,금호타이어,KOSPI,자동차,10_자동차,자동차부품,PG sector_map(wi26),1,10_자동차
011210,현대위아,KOSPI,자동차,10_자동차,자동차부품,PG sector_map(wi26),1,10_자동차
437730,삼현,KOSDAQ,자동차,10_자동차,자동차부품,PG sector_map(wi26),,10_자동차
278470,에이피알,KOSPI,"화장품,의류,완구",11_화장품의류완구,화장품,PG sector_map(wi26),1,11_화장품의류완구
090430,아모레퍼시픽,KOSPI,"화장품,의류,완구",11_화장품의류완구,화장품,PG sector_map(wi26),1,11_화장품의류완구
021240,코웨이,KOSPI,"화장품,의류,완구",11_화장품의류완구,가정용기기와용품,PG sector_map(wi26),1,15_필수소비재
051900,LG생활건강,KOSPI,"화장품,의류,완구",11_화장품의류완구,화장품,PG sector_map(wi26),1,11_화장품의류완구
161890,한국콜마,KOSPI,"화장품,의류,완구",11_화장품의류완구,화장품,PG sector_map(wi26),1,11_화장품의류완구
192820,코스맥스,KOSPI,"화장품,의류,완구",11_화장품의류완구,화장품,PG sector_map(wi26),1,11_화장품의류완구
111770,영원무역,KOSPI,"화장품,의류,완구",11_화장품의류완구,"섬유,의류,신발,호화품",PG sector_map(wi26),1,11_화장품의류완구
483650,달바글로벌,KOSPI,"화장품,의류,완구",11_화장품의류완구,화장품,PG sector_map(wi26),1,11_화장품의류완구
383220,F&F,KOSPI,"화장품,의류,완구",11_화장품의류완구,"섬유,의류,신발,호화품",PG sector_map(wi26),1,11_화장품의류완구
009970,영원무역홀딩스,KOSPI,"화장품,의류,완구",11_화장품의류완구,"섬유,의류,신발,호화품",PG sector_map(wi26),1,11_화장품의류완구
081660,미스토홀딩스,KOSPI,"화장품,의류,완구",11_화장품의류완구,"섬유,의류,신발,호화품",PG sector_map(wi26),1,11_화장품의류완구
002790,아모레퍼시픽홀딩스,KOSPI,"화장품,의류,완구",11_화장품의류완구,화장품,PG sector_map(wi26),1,11_화장품의류완구
241710,코스메카코리아,KOSDAQ,"화장품,의류,완구",11_화장품의류완구,화장품,PG sector_map(wi26),,11_화장품의류완구
035250,강원랜드,KOSPI,"호텔,레저서비스",12_호텔레저서비스,"호텔,레스토랑,레저",PG sector_map(wi26),1,12_호텔레저서비스
034230,파라다이스,KOSPI,"호텔,레저서비스",12_호텔레저서비스,"호텔,레스토랑,레저",PG sector_map(wi26),1,
352820,하이브,KOSPI,"미디어,교육",13_미디어교육,방송과엔터테인먼트,PG sector_map(wi26),1,13_미디어교육
030000,제일기획,KOSPI,"미디어,교육",13_미디어교육,광고,PG sector_map(wi26),1,13_미디어교육
041510,에스엠,KOSDAQ,"미디어,교육",13_미디어교육,방송과엔터테인먼트,PG sector_map(wi26),,13_미디어교육
035900,JYP Ent.,KOSDAQ,"미디어,교육",13_미디어교육,방송과엔터테인먼트,PG sector_map(wi26),,13_미디어교육
004170,신세계,KOSPI,소매(유통),14_소매유통,백화점과일반상점,PG sector_map(wi26),1,14_소매유통
257720,실리콘투,KOSDAQ,소매(유통),14_소매유통,인터넷과카탈로그소매,PG sector_map(wi26),,14_소매유통
023530,롯데쇼핑,KOSPI,소매(유통),14_소매유통,백화점과일반상점,PG sector_map(wi26),1,14_소매유통
282330,BGF리테일,KOSPI,소매(유통),14_소매유통,백화점과일반상점,PG sector_map(wi26),1,14_소매유통
007070,GS리테일,KOSPI,소매(유통),14_소매유통,백화점과일반상점,PG sector_map(wi26),1,14_소매유통
139480,이마트,KOSPI,소매(유통),14_소매유통,백화점과일반상점,PG sector_map(wi26),1,14_소매유통
069960,현대백화점,KOSPI,소매(유통),14_소매유통,백화점과일반상점,PG sector_map(wi26),1,14_소매유통
008770,호텔신라,KOSPI,소매(유통),14_소매유통,백화점과일반상점,PG sector_map(wi26),1,14_소매유통
033780,KT&G,KOSPI,필수소비재,15_필수소비재,담배,PG sector_map(wi26),1,15_필수소비재
003230,삼양식품,KOSPI,필수소비재,15_필수소비재,식품,PG sector_map(wi26),1,15_필수소비재
271560,오리온,KOSPI,필수소비재,15_필수소비재,식품,PG sector_map(wi26),1,15_필수소비재
097950,CJ제일제당,KOSPI,필수소비재,15_필수소비재,식품,PG sector_map(wi26),1,15_필수소비재
004370,농심,KOSPI,필수소비재,15_필수소비재,식품,PG sector_map(wi26),1,15_필수소비재
026960,동서,KOSPI,필수소비재,15_필수소비재,식품,PG sector_map(wi26),1,15_필수소비재
